APPLICATION_NUMBER,TARGET
123724268,0.09366780727087387
123456549,0.08516771811692694
123428178,0.07097770315486376
123619984,0.0832495978793223
123671104,0.08770531192225725
123632747,0.0627392690901325
123728867,0.07123103799723177
123480224,0.08966661946657159
123471321,0.08634961464471257
123725319,0.08349553440730986
123500343,0.0843979216494023
123654690,0.0845824132441674
123519890,0.09493286910465273
123464497,0.09173164681366333
123667053,0.08605696089819985
123493724,0.08645805250473301
123683158,0.0889541829989049
123675730,0.08731347089061839
123569456,0.060761551635211235
123590315,0.08541516254257306
123608042,0.08347618080158448
123696300,0.08656473421248635
123645299,0.06490207509405498
123552626,0.08706720838596385
123660023,0.09426588279819857
123458715,0.08695490231381217
123673488,0.08383416143773802
123445200,0.09153811505642927
123728923,0.08602376609928684
123609395,0.087018176774239
123598270,0.08554505542876414
123625898,0.09182645355667833
123473077,0.08818338692133343
123468285,0.0901470190888824
123488000,0.09134867385380196
123468623,0.08615196220528257
123438396,0.09122527827825279
123478434,0.08824359651088581
123573573,0.08266230623900898
123663154,0.08985933780724321
123534174,0.09126492883675526
123491207,0.06229517084923576
123486104,0.08971376361203458
123672936,0.0865816185730344
123708919,0.085256039963918
123565375,0.08605976090202741
123717492,0.08884456710881017
123543275,0.0859432160724856
123651430,0.08635324136949357
123506762,0.09809269026327609
123697915,0.0861278769283595
123675858,0.0848673651803073
123560179,0.08969242588894678
123570441,0.08878089662807881
123557517,0.08848521366931028
123616578,0.0760362817720951
123707428,0.08644826014919262
123455128,0.08697234423412856
123576408,0.09037509149834404
123478469,0.08795853660740098
123511244,0.08904231362943239
123613368,0.08788619322870216
123508859,0.088478239295693
123447568,0.08664141271164613
123561385,0.09028486461988637
123462302,0.08529969463966085
123583551,0.0671291319483068
123680994,0.08575206934561945
123460039,0.08625943014620509
123595981,0.08477656502143745
123658934,0.08566880284935353
123629953,0.08858299796346156
123674296,0.07616000315909921
123680752,0.08941324906853827
123493031,0.08765992980499504
123609069,0.09212573408986119
123608197,0.06916052450086141
123682131,0.08509028934163791
123548371,0.08873190253969722
123666065,0.08433718931878974
123691224,0.08706366272458517
123609811,0.08543857392461104
123603556,0.0856822957370661
123576819,0.08576978501188212
123666101,0.06150547856315458
123599019,0.08799706480963264
123714219,0.08938467406462115
123450631,0.08573249764941573
123591297,0.0859687424016346
123640295,0.06380593514868985
