APPLICATION_NUMBER,TARGET
123724268,0.06611525593458265
123456549,0.3176014456100426
123428178,0.13992184544109829
123671104,0.014180071566994064
123632747,0.023912512242565128
123459592,0.121460320387586
123595888,0.008332031984915804
123480224,0.02889025019852892
123725319,0.068970605597502
123500343,0.0357231985179219
123654690,0.16441069366715919
123434840,0.037235567078643866
123464497,0.20660275303918288
123689418,0.028378659066259106
123699541,0.035361578119655894
123667053,0.07861416743229982
123540873,0.004764239624547309
123675730,0.032426082205598006
123569456,0.09500646058717567
123590315,0.042095992361510855
123608042,0.2558594100983019
123637247,0.03080805317720876
123696300,0.054986772321533005
123645299,0.12255614468267226
123478448,0.015865826813306585
123552626,0.09570282408268636
123660023,0.13063763296593056
123458715,0.10750462666308518
123673488,0.027250865947269876
123445200,0.006852369085572926
123609395,0.0493907635014451
123598270,0.08167806547675596
123625898,0.03867850615665023
123473077,0.02736963692720373
123545605,0.03294941558537376
123433257,0.030955197229220036
123699079,0.24414449598278368
123720024,0.06601008834721761
123488000,0.3514198184110708
123468623,0.06367785167105157
123673653,0.017888542490857296
123438396,0.042208490744561206
123478434,0.07284640414981167
123573573,0.05676786775304699
123491207,0.03982471427333955
123486104,0.06593625511990954
123672936,0.04160497593108185
123440414,0.06837757125731783
123708919,0.03663514997900428
123436816,0.02964379161844182
123565375,0.03908440826694917
123717492,0.03860502918460077
123594082,0.1610872545700958
123506762,0.07742078641068674
123697915,0.08854737711328399
123675858,0.11899584166578092
123560179,0.030245613123793636
123574171,0.12561361789576742
123658397,0.03256544631320515
123557517,0.03697489256340277
123616578,0.019240387195086608
123707428,0.08357261781075419
123455128,0.24548109008649238
123478469,0.017967919757097467
123511244,0.10364721200199774
123613368,0.34528935101739994
123508859,0.022956613921655076
123447568,0.06629967291683231
123561385,0.04860028708563851
123462302,0.08244995327771355
123680994,0.3151948406675613
123460039,0.044292495329936676
123511880,0.10925963278996996
123658934,0.047707342601735835
123674856,0.09185052650802603
123674296,0.013934894426916491
123680752,0.06708549879462126
123493031,0.019589327340874336
123609069,0.13139657395815807
123608197,0.011439626211283456
123682131,0.011113583502594226
123548371,0.03837544160078943
123666065,0.01812735530431148
123691224,0.07087167168137389
123610127,0.04393609997817202
123609811,0.011606247060390628
123603556,0.2567228363275814
123576819,0.1436477218155519
123666101,0.02917685760191071
123599019,0.0265103983959477
123714219,0.03298048686630272
123450631,0.0748432130041321
123591297,0.048017155343628215
123640295,0.1097118703972097
123435383,0.057653343495376895
123648025,0.014368763100641124
123607172,0.04435253135264563
123576615,0.12144601386717271
123689086,0.018638568529161265
123431889,0.012797851145179224
123433520,0.07135121965519506
123552179,0.03041005637052763
123572473,0.024769872307769347
123521600,0.04029658114251691
123571125,0.028522890817199165
123532513,0.052127181097062526
123617258,0.1229365301281576
123492753,0.600190209377717
123570720,0.04484525946483284
123571431,0.08543461788043072
123507927,0.25417665846862875
123591436,0.1467572615006566
123626222,0.3990925235372919
123638226,0.012716850694607906
123655607,0.020647472563641713
123500036,0.05840492537708835
123695265,0.1274902540682226
123537332,0.07371025775595248
123665539,0.23782735731952587
123501885,0.10136963248340487
123686004,0.12279794960601875
123692159,0.13006151236653626
123484855,0.09617966313331948
123442196,0.03146993842033937
123641644,0.05774466018060604
123628192,0.0924864789351697
123441332,0.07047400143386129
123655422,0.015051858676975094
123676869,0.35238286314529643
123576991,0.014737726882150649
123691511,0.05134868682712025
123590563,0.009009665724087986
123606274,0.035261352355512345
123712086,0.023910117482174347
123725031,0.06075108398163209
